Timestamp,gender,What is your age group?,"How often do you plan and book leisure travel (vacations, weekend trips, etc.)?",How much do you spend on a typical trip?,What type of trips do you most enjoy? (Select up to 3),"How often do you use Social media platforms (Instagram, Facebook, TikTok) such as Facebook, Twitter, TikTok, Instagram, Youtube?","Which Social media platforms (Instagram, Facebook, TikTok) Platform do you use the most?","Have you ever come across a sponsored travel post or ad while browsing Social media platforms (Instagram, Facebook, TikTok)?",If Yes: Which platform do you recall seeing sponsored travel content on most often?,"When you see sponsored travel content, how likely are you to take the following actions?",Sponsored travel content helps me discover destinations or experiences I might not have considered otherwise?,Which sources do you typically use FIRST when starting to research a new travel destination?,Which type of travel content do you find most helpful when making booking decisions?,"When researching travel destinations or accommodations, how often do you notice that some content is labeled as 'sponsored,' 'ad,' or 'promoted'?","How much do you agree with this statement: 'I trust user-generated content (reviews, photos from other travelers) more than professionally produced travel content.'",How long does your typical travel planning process take from initial research to final booking?,On which device do you most often research and book travel?,"How often do you seek opinions from friends, family, or online communities before making a travel booking decision?",Which new travel content features would you find most helpful when planning a trip?,"Think about a recent travel booking you made. Describe how different types of content (photos, reviews, ads, recommendations) influenced your final decision. What made certain content more convincing or trustworthy to you?","Based on your experience with travel content and booking websites, what changes would make you more likely to trust and engage with travel recommendations or promotions? What frustrates you most about current travel content?",Name,Email
2025-05-19,Male,60,Less than once per year,more than $2500,"Luxury travel, City breaks, Adventure / outdoor activities",Several times a week,Facebook,Yes,None,Click link,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_10,user0_10@example.com
2025-01-06,Non-Binary,60,Less than once per year,more than $2500,"Budget travel, Adventure / outdoor activities, Wellness / relaxation retreats",Several times a week,Facebook,Yes,None,Click link,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_11,user0_11@example.com
2025-03-26,Female,60,Less than once per year,more than $2500,"Budget travel, Cultural / historical experiences, Wellness / relaxation retreats",Several times a week,Facebook,Yes,None,Click link,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_12,user0_12@example.com
2025-03-14,Male,60,Less than once per year,more than $2500,"Beach holidays, Budget travel, Luxury travel",Several times a week,Facebook,Yes,None,Click link,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_13,user0_13@example.com
2025-04-19,Male,60,Less than once per year,more than $2500,"Visiting friends or family, Wellness / relaxation retreats, Luxury travel",Several times a week,Facebook,Yes,None,Click link,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_14,user0_14@example.com
2025-06-15,Male,60,Less than once per year,more than $2500,"Luxury travel, City breaks, Budget travel",Several times a week,Facebook,Yes,None,Click link,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_15,user0_15@example.com
2025-04-17,Male,60,Less than once per year,more than $2500,"City breaks, Beach holidays, Cultural / historical experiences",Several times a week,Facebook,Yes,None,Click link,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_16,user0_16@example.com
2025-06-02,Female,60,Less than once per year,more than $2500,"City breaks, Adventure / outdoor activities, Beach holidays",Several times a week,Facebook,Yes,None,Click link,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_17,user0_17@example.com
2025-04-16,Male,60,Less than once per year,more than $2500,"Budget travel, Visiting friends or family, Cultural / historical experiences",Several times a week,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_18,user0_18@example.com
2025-03-17,Male,60,Less than once per year,more than $2500,"Visiting friends or family, Budget travel, Cultural / historical experiences",Several times a week,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_19,user0_19@example.com
2025-06-24,Female,60,Less than once per year,more than $2500,"Visiting friends or family, Cultural / historical experiences, Beach holidays",Once a day,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_20,user0_20@example.com
2025-05-25,Male,60,Less than once per year,more than $2500,"Luxury travel, City breaks, Beach holidays",Once a day,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_21,user0_21@example.com
2025-03-31,Male,60,Less than once per year,more than $2500,"Luxury travel, Beach holidays, Wellness / relaxation retreats",Once a day,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_22,user0_22@example.com
2025-06-16,Male,60,Less than once per year,more than $2500,"Cultural / historical experiences, Budget travel, Luxury travel",Once a day,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_23,user0_23@example.com
2025-04-02,Male,60,Less than once per year,more than $2500,"Adventure / outdoor activities, Wellness / relaxation retreats, Cultural / historical experiences",Once a day,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_24,user0_24@example.com
2025-01-10,Female,60,Less than once per year,more than $2500,"City breaks, Cultural / historical experiences, Luxury travel",Once a day,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_25,user0_25@example.com
2025-06-21,Male,60,Less than once per year,more than $2500,"Adventure / outdoor activities, Luxury travel, Wellness / relaxation retreats",Once a day,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_26,user0_26@example.com
2025-04-07,Female,60,Less than once per year,more than $2500,"Adventure / outdoor activities, Cultural / historical experiences, City breaks",Once a day,Twitter/X,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_27,user0_27@example.com
2025-05-15,Female,60,Less than once per year,more than $2500,"Adventure / outdoor activities, Luxury travel, Wellness / relaxation retreats",Once a day,Twitter/X,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_28,user0_28@example.com
2025-01-12,Male,60,Less than once per year,more than $2500,"Luxury travel, Beach holidays, Wellness / relaxation retreats",Once a day,Twitter/X,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_29,user0_29@example.com
2025-04-06,Female,60,Less than once per year,more than $2500,"Beach holidays, Budget travel, Visiting friends or family",Once a day,Twitter/X,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_30,user0_30@example.com
2025-05-18,Male,60,Less than once per year,more than $2500,"Luxury travel, Cultural / historical experiences, Budget travel",Once a day,Twitter/X,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_31,user0_31@example.com
2025-01-15,Male,60,Less than once per year,more than $2500,"Visiting friends or family, City breaks, Budget travel",Once a day,Twitter/X,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_32,user0_32@example.com
2025-04-22,Female,60,Less than once per year,more than $2500,"City breaks, Adventure / outdoor activities, Beach holidays",Once a day,Twitter/X,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_33,user0_33@example.com
2025-05-23,Non-Binary,60,Less than once per year,more than $2500,"Cultural / historical experiences, Wellness / relaxation retreats, Budget travel",Once a day,Twitter/X,Yes,None,Ignore,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_34,user0_34@example.com
2025-04-13,Female,60,Less than once per year,more than $2500,"Wellness / relaxation retreats, City breaks, Budget travel",Once a day,Twitter/X,Yes,None,Ignore,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_35,user0_35@example.com
2025-06-05,Male,60,Less than once per year,more than $2500,"Budget travel, City breaks, Wellness / relaxation retreats",Once a day,Twitter/X,Yes,None,Ignore,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_36,user0_36@example.com
2025-05-02,Male,60,Less than once per year,more than $2500,"Cultural / historical experiences, Wellness / relaxation retreats, Beach holidays",Once a day,Twitter/X,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_37,user0_37@example.com
2025-01-24,Female,60,Less than once per year,more than $2500,"Cultural / historical experiences, City breaks, Wellness / relaxation retreats",Once a day,Twitter/X,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_38,user0_38@example.com
2025-04-20,Male,60,Less than once per year,more than $2500,"Visiting friends or family, Wellness / relaxation retreats, Cultural / historical experiences",Once a day,Twitter/X,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_39,user0_39@example.com
2025-01-14,Male,60,Less than once per year,more than $2500,"Budget travel, City breaks, Wellness / relaxation retreats",Once a day,Twitter/X,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_40,user0_40@example.com
2025-01-26,Female,60,Less than once per year,more than $2500,"Wellness / relaxation retreats, City breaks, Beach holidays",Once a day,Twitter/X,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_41,user0_41@example.com
2025-02-03,Male,60,Less than once per year,more than $2500,"Luxury travel, Adventure / outdoor activities, City breaks",Once a day,Youtube,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_42,user0_42@example.com
2025-04-01,Female,60,Less than once per year,more than $2500,"Cultural / historical experiences, Luxury travel, City breaks",Once a day,Youtube,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_43,user0_43@example.com
2025-06-16,Male,60,Less than once per year,more than $2500,"Beach holidays, Wellness / relaxation retreats, Cultural / historical experiences",Once a day,Youtube,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_44,user0_44@example.com
2025-05-04,Female,60,Less than once per year,more than $2500,"Luxury travel, Wellness / relaxation retreats, Visiting friends or family",Once a day,Youtube,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_45,user0_45@example.com
2025-05-25,Male,60,Less than once per year,more than $2500,"Visiting friends or family, City breaks, Cultural / historical experiences",Once a day,Youtube,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,360° video tours,Sample.,Sample.,User0_46,user0_46@example.com
2025-01-27,Female,60,Less than once per year,more than $2500,"Visiting friends or family, Budget travel, Luxury travel",Once a day,Youtube,Yes,None,Look up separately,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_47,user0_47@example.com
2025-04-07,Female,60,Less than once per year,more than $2500,"Budget travel, City breaks, Cultural / historical experiences",Once a day,Youtube,Yes,None,Ignore,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_48,user0_48@example.com
2025-05-10,Male,60,Less than once per year,more than $2500,"Wellness / relaxation retreats, Budget travel, Visiting friends or family",Once a day,Youtube,Yes,None,Ignore,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_49,user0_49@example.com
2025-03-18,Non-Binary,60,Less than once per year,more than $2500,"Budget travel, City breaks, Luxury travel",Once a day,Youtube,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_50,user0_50@example.com
2025-06-10,Female,60,Less than once per year,more than $2500,"Budget travel, City breaks, Beach holidays",Once a day,Youtube,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_51,user0_51@example.com
2025-05-16,Female,60,Less than once per year,more than $2500,"Visiting friends or family, Wellness / relaxation retreats, Cultural / historical experiences",Once a day,Youtube,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_52,user0_52@example.com
2025-03-07,Female,60,Less than once per year,more than $2500,"Visiting friends or family, Adventure / outdoor activities, Cultural / historical experiences",Once a day,Youtube,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_53,user0_53@example.com
2025-06-29,Female,60,Less than once per year,more than $2500,"Budget travel, Adventure / outdoor activities, Wellness / relaxation retreats",Once a day,Youtube,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_54,user0_54@example.com
2025-01-04,Female,60,Less than once per year,more than $2500,"Beach holidays, Budget travel, Adventure / outdoor activities",Once a day,Youtube,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_55,user0_55@example.com
2025-03-24,Male,60,Less than once per year,more than $2500,"Beach holidays, Luxury travel, Visiting friends or family",Once a day,Youtube,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_56,user0_56@example.com
2025-03-18,Male,60,Less than once per year,more than $2500,"Visiting friends or family, Budget travel, Beach holidays",Once a day,Youtube,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_57,user0_57@example.com
2025-01-02,Male,60,Less than once per year,more than $2500,"City breaks, Budget travel, Cultural / historical experiences",Once a day,Youtube,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_58,user0_58@example.com
2025-02-18,Male,60,Less than once per year,more than $2500,"Adventure / outdoor activities, Wellness / relaxation retreats, City breaks",Once a day,None At All,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_59,user0_59@example.com
2025-06-01,Male,60,Less than once per year,more than $2500,"Adventure / outdoor activities, City breaks, Cultural / historical experiences",Once a day,None At All,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_60,user0_60@example.com
2025-04-26,Male,60,Less than once per year,more than $2500,"Cultural / historical experiences, Visiting friends or family, Beach holidays",Once a day,None At All,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_61,user0_61@example.com
2025-04-02,Female,60,Less than once per year,more than $2500,"Budget travel, Wellness / relaxation retreats, Beach holidays",Once a day,Facebook,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_62,user0_62@example.com
2025-05-02,Male,60,Less than once per year,more than $2500,"Adventure / outdoor activities, Visiting friends or family, Beach holidays",Once a day,Facebook,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_63,user0_63@example.com
2025-01-05,Male,60,Less than once per year,more than $2500,"Wellness / relaxation retreats, Cultural / historical experiences, Adventure / outdoor activities",Once a day,Facebook,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_64,user0_64@example.com
2025-06-05,Female,60,Less than once per year,more than $2500,"Wellness / relaxation retreats, Beach holidays, Visiting friends or family",Once a day,Facebook,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_65,user0_65@example.com
2025-04-02,Male,60,Less than once per year,more than $2500,"Budget travel, Visiting friends or family, Beach holidays",Once a day,Facebook,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_66,user0_66@example.com
2025-02-14,Female,60,Less than once per year,more than $2500,"Beach holidays, Cultural / historical experiences, Adventure / outdoor activities",Once a day,Facebook,No,None,Click link,Agree,"Travel review sites (TripAdvisor, Yelp)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_67,user0_67@example.com
2025-02-22,Male,60,Less than once per year,more than $2500,"Cultural / historical experiences, Beach holidays, Wellness / relaxation retreats",Once a day,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_68,user0_68@example.com
2025-04-07,Non-Binary,60,Less than once per year,more than $2500,"Adventure / outdoor activities, Luxury travel, City breaks",Several times a week,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_69,user0_69@example.com
2025-06-24,Female,60,Less than once per year,more than $2500,"Luxury travel, Adventure / outdoor activities, City breaks",Several times a week,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_70,user0_70@example.com
2025-03-30,Male,60,Less than once per year,more than $2500,"Cultural / historical experiences, Beach holidays, Budget travel",Several times a week,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_71,user0_71@example.com
2025-06-18,Male,60,Less than once per year,more than $2500,"Luxury travel, Budget travel, Adventure / outdoor activities",Several times a week,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_72,user0_72@example.com
2025-02-17,Female,60,Less than once per year,more than $2500,"City breaks, Luxury travel, Adventure / outdoor activities",Several times a week,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_73,user0_73@example.com
2025-03-02,Female,60,Less than once per year,more than $2500,"Visiting friends or family, Luxury travel, Adventure / outdoor activities",Several times a week,Facebook,Yes,None,Click link,Agree,"Search engines (Google, Bing)",Written reviews from other travelers,Always notice,Disagree,1-3 weeks,Laptop,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User0_74,user0_74@example.com
